mitochondrion inheritance	biological_process
mitochondrial genome maintenance	biological_process
obsolete reproduction	biological_process
obsolete ribosomal chaperone activity	molecular_function
high-affinity zinc transmembrane transporter activity	molecular_function
low-affinity zinc ion transmembrane transporter activity	molecular_function
obsolete thioredoxin	molecular_function
alpha-1,6-mannosyltransferase activity	molecular_function
heptaprenyl diphosphate synthase activity	molecular_function
vacuole inheritance	biological_process
single strand break repair	biological_process
single-stranded DNA endodeoxyribonuclease activity	molecular_function
phosphopyruvate hydratase complex	cellular_component
lactase activity	molecular_function
alpha-glucoside transport	biological_process
regulation of DNA recombination	biological_process
regulation of mitotic recombination	biological_process
obsolete negative regulation of recombination within rDNA repeats	biological_process
mitotic spindle elongation	biological_process
maltose metabolic process	biological_process
maltose biosynthetic process	biological_process
maltose catabolic process	biological_process
alpha-1,2-mannosyltransferase activity	molecular_function
ribosomal large subunit assembly	biological_process
ribosomal small subunit assembly	biological_process
mannosyltransferase activity	molecular_function
mannosylphosphate transferase activity	molecular_function
cell wall mannoprotein biosynthetic process	biological_process
alpha-1,3-mannosyltransferase activity	molecular_function
adenine deaminase activity	molecular_function
acyl binding	molecular_function
acyl carrier activity	molecular_function
very long-chain fatty acid metabolic process	biological_process
obsolete plasma membrane long-chain fatty acid transporter	molecular_function
transition metal ion transport	biological_process
obsolete ascorbate stabilization	biological_process
autophagosome assembly	biological_process
obsolete Rieske iron-sulfur protein	molecular_function
peptidyltransferase activity	molecular_function
tRNA binding	molecular_function
urea cycle	biological_process
obsolete urea cycle intermediate metabolic process	biological_process
citrulline metabolic process	biological_process
argininosuccinate metabolic process	biological_process
ribosomal subunit export from nucleus	biological_process
ribosomal large subunit export from nucleus	biological_process
ribosomal small subunit export from nucleus	biological_process
obsolete protein import into nucleus, docking	biological_process
obsolete protein import into nucleus, translocation	biological_process
obsolete protein import into nucleus, substrate release	biological_process
fatty-acyl-CoA binding	molecular_function
L-ornithine transmembrane transporter activity	molecular_function
obsolete DNA replication and chromosome cycle	biological_process
mitotic sister chromatid segregation	biological_process
obsolete M phase specific microtubule process	biological_process
initial mitotic spindle pole body separation	biological_process
cell cycle checkpoint signaling	biological_process
DNA replication checkpoint signaling	biological_process
DNA damage checkpoint signaling	biological_process
obsolete cytokinesis after mitosis checkpoint	biological_process
regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process
mitotic G1 phase	biological_process
G1/S transition of mitotic cell cycle	biological_process
obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle	biological_process
mitotic S phase	biological_process
mitotic G2 phase	biological_process
G2/M transition of mitotic cell cycle	biological_process
mitotic M phase	biological_process
mitotic prophase	biological_process
mitotic metaphase	biological_process
mitotic anaphase	biological_process
mitotic anaphase A	biological_process
mitotic anaphase B	biological_process
mitotic telophase	biological_process
obsolete septin assembly and septum formation	biological_process
comment: This term was made obsolete because it was not defined and the string name implied two separate processes.	synonym: "septin assembly and septum formation" EXACT []
S-adenosyl-L-methionine transmembrane transporter activity	molecular_function
sulfur amino acid metabolic process	biological_process
sulfur amino acid biosynthetic process	biological_process
sulfur amino acid catabolic process	biological_process
sulfur amino acid transmembrane transporter activity	molecular_function
S-methylmethionine transmembrane transporter activity	molecular_function
sulfur amino acid transport	biological_process
L-methionine secondary active transmembrane transporter activity	molecular_function
sulfate assimilation	biological_process
succinate dehydrogenase activity	molecular_function
L-histidine biosynthetic process	biological_process
imidazoleglycerol-phosphate synthase activity	molecular_function
obsolete repairosome	cellular_component
nucleotide-excision repair complex	cellular_component
nucleotide-excision repair factor 1 complex	cellular_component
nucleotide-excision repair factor 2 complex	cellular_component
nucleotide-excision repair factor 3 complex	cellular_component
nucleotide-excision repair factor 4 complex	cellular_component
obsolete regulation of transcription involved in G1 phase of mitotic cell cycle	biological_process
obsolete regulation of transcription involved in S phase of mitotic cell cycle	biological_process
obsolete regulation of transcription involved in G2-phase of mitotic cell cycle	biological_process
obsolete regulation of transcription involved in G2/M transition of mitotic cell cycle	biological_process
histone deacetylase complex	cellular_component
RNA polymerase I transcription regulator complex	cellular_component
glycerol-1-phosphatase activity	molecular_function
negative regulation of transcription by RNA polymerase II	biological_process
histone acetyltransferase complex	cellular_component
SAGA complex	cellular_component
transcription factor TFIIIB complex	cellular_component
transcription factor TFIIIC complex	cellular_component
flocculation	biological_process
incipient cellular bud site	cellular_component
establishment of mitotic spindle orientation	biological_process
polarisome	cellular_component
mannan polymerase complex	cellular_component
Golgi cis cisterna	cellular_component
Golgi trans cisterna	cellular_component
Golgi membrane	cellular_component
acylglycerone-phosphate reductase (NADP+) activity	molecular_function
cellular bud neck contractile ring	cellular_component
cellular bud neck septin ring	cellular_component
exocyst	cellular_component
microfilament motor activity	molecular_function
actin cortical patch assembly	biological_process
1,3-beta-D-glucan synthase complex	cellular_component
SNARE binding	molecular_function
DNA strand exchange activity	molecular_function
ubiquitin ligase complex	cellular_component
nuclear ubiquitin ligase complex	cellular_component
cytoplasmic ubiquitin ligase complex	cellular_component
rRNA modification	biological_process
phosphorelay sensor kinase activity	molecular_function
phosphorelay response regulator activity	molecular_function
protein phosphatase type 2A complex	cellular_component
phosphorelay signal transduction system	biological_process
obsolete osmosensory signaling MAPK cascade	biological_process
tryptophan biosynthetic process	biological_process
protein phosphatase type 1 complex	cellular_component
MAPK cascade	biological_process
nucleotide binding	molecular_function
sphingosine hydroxylase activity	molecular_function
ribonuclease MRP activity	molecular_function
ribonuclease MRP complex	cellular_component
obsolete inactivation of MAPK (mating sensu Saccharomyces)	biological_process
3'-5'-RNA exonuclease activity	molecular_function
nuclear exosome (RNase complex)	cellular_component
cytoplasmic exosome (RNase complex)	cellular_component
exosome (RNase complex)	cellular_component
rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function
obsolete cytosolic large ribosomal subunit	cellular_component
obsolete cytosolic small ribosomal subunit	cellular_component
rDNA binding	molecular_function
rDNA heterochromatin formation	biological_process
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process
obsolete activation of MAPKKK activity	biological_process
obsolete activation of MAPKK activity	biological_process
obsolete activation of MAPK activity	biological_process
obsolete inactivation of MAPK activity	biological_process
obsolete MAPK import into nucleus	biological_process
obsolete MAPKKK cascade (pseudohyphal growth)	biological_process
obsolete activation of MAPKKK (pseudohyphal growth)	biological_process
obsolete activation of MAPKK (pseudohyphal growth)	biological_process
obsolete activation of MAPK (pseudohyphal growth)	biological_process
obsolete inactivation of MAPK (pseudohyphal growth)	biological_process
obsolete nuclear translocation of MAPK (pseudohyphal growth)	biological_process
cell wall integrity MAPK cascade	biological_process
obsolete activation of MAPKKK activity involved in cell wall organization or biogenesis	biological_process
obsolete activation of MAPKK activity involved in cell wall organization or biogenesis	biological_process
obsolete activation of MAPK activity involved in cell wall organization or biogenesis	biological_process
obsolete inactivation of MAPK activity involved in cell wall organization or biogenesis	biological_process
obsolete MAPK import into nucleus involved in cell wall organization or biogenesis	biological_process
obsolete MAPKKK cascade during sporulation (sensu Saccharomyces)	biological_process
obsolete activation of MAPKKK during sporulation (sensu Saccharomyces)	biological_process
obsolete activation of MAPKK during sporulation (sensu Saccharomyces)	biological_process
obsolete activation of MAPK during sporulation (sensu Saccharomyces)	biological_process
obsolete inactivation of MAPK during sporulation (sensu Saccharomyces)	biological_process
obsolete nuclear translocation of MAPK during sporulation (sensu Saccharomyces)	biological_process
obsolete MAPK import into nucleus involved in osmosensory signaling pathway	biological_process
protein polyubiquitination	biological_process
NAD+ diphosphatase activity	molecular_function
obsolete protein degradation tagging activity	molecular_function
meiotic spindle organization	biological_process
tRNA-intron endonuclease activity	molecular_function
tRNA-intron endonuclease complex	cellular_component
tRNA 2'-phosphotransferase activity	molecular_function
obsolete M/G1 transition of mitotic cell cycle	biological_process
DNA secondary structure binding	molecular_function
obsolete vacuolar hydrogen-transporting ATPase	cellular_component
vacuolar proton-transporting V-type ATPase, V0 domain	cellular_component
vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component
plasma membrane proton-transporting V-type ATPase, V0 domain	cellular_component
plasma membrane proton-transporting V-type ATPase, V1 domain	cellular_component
peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase activity	molecular_function
N-acetylglucosaminylphosphatidylinositol deacetylase activity	molecular_function
microtubule cytoskeleton organization	biological_process
